duration,channel,published_at,video_id,category_id,views,likes,category
20.0,YT Object,2025-03-03T19:53:04Z,WK0LxDDSqjM,24,72684804,2656886,Entertainment
183.0,JennieRubyJaneVEVO,2025-03-07T05:00:06Z,JSFG-IE8n_c,10,14910033,1474734,Music
13576.0,Sidemen,2025-03-08T18:07:06Z,4HEvwQ2qVnw,24,16016344,553866,Entertainment
37.0,Lionfield,2025-03-07T17:00:31Z,I0c9JLKDcGs,23,15060921,1119223,Comedy
37.0,Little Yang Show,2025-02-28T07:07:40Z,rmM_w7zyGDI,22,42420448,923736,People & Blogs
83.0,IShowSpeed,2025-03-07T17:03:09Z,6Nd-v8lmIDc,20,16824196,1291211,Gaming
72.0,Vat19,2025-03-05T18:53:42Z,_px8OSiQSWI,24,13248914,806735,Entertainment
70.0,Justin Flom,2025-02-26T16:10:26Z,Kk62fmzNwDs,24,75348848,3377587,Entertainment
64.0,The Daily Ketchup Podcast,2025-03-04T08:52:58Z,oq3ss-RomeA,24,78784,1611,Entertainment
35.0,Stokes Twins,2025-03-05T11:01:01Z,brr41bcA-fM,22,127835526,2952526,People & Blogs
184.0,Priscilla Abby 蔡恩雨,2025-02-28T11:00:47Z,Xhg5ZCIa1HY,10,1789892,20750,Music
14.0,The Land Of Boggs,2025-03-07T14:00:32Z,O9e3fH9-wz0,22,5504174,442736,People & Blogs
57.0,Mark Rober,2025-03-02T16:05:40Z,p7f8oR5ELwk,28,41451634,2485559,Science & Technology
90.0,Mythri Movie Makers,2025-02-28T13:32:07Z,jl-sgSDwJHs,24,35626637,887402,Entertainment
55.0,Alan's Universe,2025-03-03T13:00:11Z,stPz9yDqjfI,24,87569873,4093007,Entertainment
11.0,Always Cinema,2025-03-04T10:32:18Z,n6My5VNf82c,24,9829575,383944,Entertainment
496.0,beIN SPORTS Asia,2025-03-05T22:51:29Z,UPy-EGvofnk,17,1820663,23622,Sports
1324.0,Sidemen,2025-03-08T21:09:19Z,ElXPnACEDEs,24,4101166,162421,Entertainment
58.0,DD Scenes,2025-03-01T13:30:32Z,fI2BiGQ09qk,24,2161579,128922,Entertainment
60.0,Foil Arms and Hog,2025-03-03T17:00:07Z,3ka8yG0BcHk,23,6948625,580457,Comedy
1261.0,CNN,2025-03-04T17:21:18Z,wz_42pckM7w,25,13198082,298095,News & Politics
23.0,Bayanno TV,2025-03-02T11:40:17Z,i-OXDRoIcl0,25,5798518,146948,News & Politics
18.0,Red Bull,2025-02-27T08:33:21Z,svmmHtAy-Dg,17,38067963,1834706,Sports
46.0,Daily Dose of Gaming,2025-03-01T22:00:34Z,qOBtK1nqZCk,20,6804877,639288,Gaming
16.0,Tik Cover,2025-02-27T14:44:46Z,rQL9rdSRoU4,10,7027785,275936,Music
56.0,"This is MMA, baby",2025-02-28T16:00:41Z,b1D1z0-ktHQ,17,2075055,61796,Sports
51.0,華視懷舊頻道,2025-02-24T14:00:43Z,deNmxlJ9J-s,24,2527225,54107,Entertainment
228.0,LLOUD Official,2025-02-28T05:01:26Z,r5VRqWkFpEQ,10,21006614,1384891,Music
57.0,AP International,2025-02-26T13:00:19Z,DoxhA5AThKU,24,4946970,242504,Entertainment
30.0,小姐不熙娣,2025-02-26T12:00:38Z,LV5F8ejgwbA,24,1145642,24991,Entertainment
19.0,藏獒加布,2025-02-26T10:00:01Z,1O4vCcabr2w,15,944402,13801,Pets & Animals
40.0,Graham Stephan,2025-02-23T18:00:24Z,Z0QtK1qOnQ0,27,9861550,516948,Education
49.0,Saif Shawaf,2025-02-27T16:22:19Z,obvCU6YApZ0,10,6674435,310405,Music
45.0,Daniel LaBelle,2025-02-26T15:49:31Z,I7Lv-1GY92M,23,88637924,1764679,Comedy
160.0,Manchester United,2025-02-27T00:00:06Z,AopzVGO2HK8,17,3406309,59536,Sports
1383.0,Fox News,2025-02-28T23:45:06Z,GfqLcBwUT_E,25,11657075,172219,News & Politics
35.0,Daily Express,2025-02-22T12:00:03Z,0eV5ruoGqZA,25,7425056,152272,News & Politics
462.0,The Telegraph,2025-02-28T18:15:20Z,v_kTNIYsFnQ,25,7126545,88600,News & Politics
12.0,The Mannii Show,2025-02-28T00:51:32Z,BDFFNJowPMo,23,7054323,435253,Comedy
10.0,Tik Cover,2025-02-22T16:01:18Z,34JjDpXCEIM,10,13735611,707220,Music
221.0,JennieRubyJaneVEVO,2025-02-21T05:00:40Z,eWAdpUyzCkI,10,30236850,1795518,Music
27801.0,VALORANT Champions Tour,2025-03-02T18:06:28Z,K04_o_zafwQ,20,2330201,32868,Gaming
20.0,東森娛樂,2025-02-24T03:45:00Z,32P2tbMotvw,24,1325985,47921,Entertainment
100.0,Unnecessary Inventions,2025-02-24T16:53:23Z,5XtALh0y6Ss,24,8781010,631761,Entertainment
15.0,Jay & Sharon,2025-02-20T18:54:38Z,N38sPx5KHiA,23,9419827,619320,Comedy
61.0,MrBeast,2025-02-19T18:00:00Z,L5ihmu87xTE,24,179198404,9501655,Entertainment
85.0,Jiaoying Summers,2025-02-15T21:47:15Z,qdKwJLgibjI,23,10832677,625666,Comedy
22.0,Daily Dose Of Internet,2025-02-28T21:01:56Z,7yYXnS6dvPQ,24,7584736,627220,Entertainment
19.0,Little Yang Show,2025-02-16T03:18:13Z,uRp5s_rqXLw,22,23247453,325975,People & Blogs
94.0,Behindwoods TV,2025-03-03T05:00:05Z,WNji19HnGUs,22,6844958,275866,People & Blogs
17.0,Haley Kalil,2025-02-21T19:28:44Z,2XSNgQKmvEM,22,16681684,1445257,People & Blogs
22.0,Various forms of life,2025-02-20T09:30:00Z,-KfySmwfKUA,22,1303403,35959,People & Blogs
51.0,Sick Science!,2025-02-13T16:37:47Z,Nse-LUpVQu8,27,25900378,1344621,Education
250.0,FC Barcelona,2025-02-25T23:28:59Z,Z0vsD8J-0_4,17,11447409,161514,Sports
16.0,Endless Love,2025-03-04T14:30:12Z,ThMVIgz209g,10,12103347,869778,Music
77.0,NickandCarrie,2025-02-22T12:46:39Z,RDFPW3ShckY,22,15453707,929994,People & Blogs
60.0,Mini Katana,2025-02-15T02:00:40Z,qQ_d-exjJBQ,22,67969556,3072568,People & Blogs
19.0,Various forms of life,2025-02-20T04:40:15Z,vjIsyhsc8bQ,22,780238,12256,People & Blogs
20.0,Victoria Pfeifer,2025-02-19T15:01:30Z,knqCHsA3fcg,23,23278948,1493619,Comedy
265.0,JISOO,2025-02-14T05:00:07Z,2V6lvCUPT8I,10,46519464,2715911,Music
51.0,综艺我最顶,2025-02-18T02:15:25Z,jzIHZVOdQi4,24,1518072,37637,Entertainment
148.0,Full Squad Gaming,2025-02-18T02:23:38Z,Az2ns0Cb-QA,24,20849020,1659169,Entertainment
24.0,Fabiosa Best Lifehacks,2025-02-16T16:00:01Z,1DftNDeU44o,22,46573091,880549,People & Blogs
22.0,Nick DiGiovanni,2025-02-21T17:00:19Z,GdQPICHaKII,22,13133770,999147,People & Blogs
50.0,Pocket Cine,2025-02-20T13:30:28Z,l0P8cHNFpK0,1,19260642,589317,Film & Animation
527.0,beIN SPORTS Asia,2025-03-05T00:21:25Z,h63aMe-gHCg,17,1286913,14086,Sports
801.0,NFL,2025-02-10T03:22:55Z,KDorKy-13ak,17,100283476,3131366,Sports
19.0,SSP TV,2025-02-19T12:49:16Z,lkwKvA2jfTI,24,19103017,746066,Entertainment
17.0,Inandoutcinema,2025-02-13T16:28:28Z,0PoTwGqrKO4,24,5474808,197494,Entertainment
609.0,Brawl Stars,2025-02-22T16:00:06Z,SD2UiX1jpd8,20,15692783,512800,Gaming
1513.0,老高與小茉 Mr & Mrs Gao,2025-02-19T13:00:06Z,uN3WOJqMpHM,24,3081934,48229,Entertainment
16.0,Red Bull,2025-02-08T08:00:50Z,sLnkRsYXlpk,17,100299319,1449808,Sports
13.0,Victoria Pfeifer,2025-02-17T01:30:26Z,YoWEKEHmmVA,23,17722966,931748,Comedy
16.0,House of Highlights,2025-02-17T02:56:53Z,pAMWuh9JzgU,17,16117625,807086,Sports
67.0,ONE Championship,2025-02-16T02:00:01Z,a1TLVZV6Mhk,17,29725850,501522,Sports
