created_at,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,title,edit_history_tweet_ids,id,author_id,Category,engagement,total_engagement
2025-03-05T01:25:23.000Z,14,2,11,1,0,444,"Engage againn~

JISOO ATTENDS DIOR PFW 
#JISOOxDiorAW25

Check out Her World Singapore's video! #TikTok https://t.co/zdzGoFTRNY",1897096069026336883,1897096069026336883,1319480990603997184,How-to & Style,472,472
2025-03-06T13:32:29.000Z,5,0,13,1,0,240,"Singapore Memories 🥳
.
@kumaran_kural  X @vj_vasanth_ 
.
Full Video : https://t.co/MvUeRd04b2

#MuthukumaranArmy #Muthu #Muthukumaran𓃶 #Muthukumaran #biggboss8tamil #BiggBossTamil #BiggBossTamilSeason8",1897641437237526892,1897641437237526892,1351381585157906432,Vlogs,259,259
2025-03-02T06:18:27.000Z,2,1,3,0,0,177,"Like Us (from Sensory Flows album)

Bouncy Yesung continues from the intro itself. I like the band arrangement of this song! 

Full: https://t.co/4s7drVBL8p

#YESUNG #2025_YESUNG_CONCERT_Its_Complicated_in_SINGAPORE https://t.co/OQ1sFjyZzP",1896082657056084002,1896082657056084002,1289369968484610048,Music,183,183
2025-03-06T05:07:10.000Z,0,0,1,0,0,95,"🚨 BUBBLE ALERT: Is the S&amp;P 500 about to crash 50% or just taking a breather? 📉

In my latest video, I break down Wall Street's wildly  different 2025 predictions (from +20% to -40%!) and what Singapore  investors should do.

Watch here 👉 https://t.co/US9uUjDyVW

#investing",1897514269962633559,1897514269962633559,1889514462232903680,News & Politics,96,96
2025-03-07T08:32:14.000Z,0,0,0,0,0,8,#DiplomatChallenge2024 #DiplomatChallenge2025 | How the Vatican's Embassies Work https://t.co/PdskC37AsJ via @YouTube,1897928261696729207,1897928261696729207,242775158,News & Politics,8,8
2025-03-07T09:10:04.000Z,0,0,0,0,0,2,"Singapore, a ban rammed into the car
https://t.co/VtrQU57HTF",1897937784301928906,1897937784301928906,1868172586200555520,News & Politics,2,2
2025-03-07T12:58:04.000Z,0,1,0,0,0,121,"GOAL 25' Geylang 0-1 Balestier #SPL 

Kodai Tanaka brilliantly controls a long ball over the top before calmly lifting an effort past Rudy Khairullah for the opening goal! #GEYBAL

LIVE ➡️ YouTube (https://t.co/NM7dqLFdtL), meWATCH (https://t.co/advz4YGsad), Singtel Ch 112 https://t.co/ug7S6cdNiW",1897995161046859979,1897995161046859979,574434636,Sports,122,122
2025-03-06T08:57:53.000Z,5,0,5,0,0,411,"Star Signs With Freen Sarocha

https://t.co/RD91MulkEL

YouTube : GRAZIA Singapore

#srchafreen 
#ValentinoFW25xFreen
#VALENTINOGARAVANI
#ParisFashionWeek",1897572330072846601,1897572330072846601,992792985338200065,How-to & Style,421,421
2025-03-06T12:01:45.000Z,136,4,176,3,1,4573,"Video in Grazia Singapore only 1.947 views and 700 likes. Please keep engage girlfreens!

🔗https://t.co/ZvnLjwx75o

#ValentinoFW25xFreen
#VALENTINOGARAVANI
#srchafreen #FreenSarocha
#ParisFashionWeek #PFW #AW25
#GRAZIASingapore https://t.co/NtxLfnbTei",1897618603630895175,1897618603630895175,713926652,How-to & Style,4893,4893
2025-03-07T08:40:22.000Z,0,0,3,0,0,29,"💡 Dermatologist-Recommended Skincare Routine 💡

✅ Cleanse – Gentle face wash
✅ Moisturize – Hydration is key
✅ Sunscreen – SPF 30+ daily
✅ Actives – Vitamin C, Retinol, Niacinamide (if needed)

For expert skincare insights 🎙️👇
🔗 https://t.co/fsWUWoatDK

#SkincareRoutine",1897930310005739746,1897930310005739746,3142878378,How-to & Style,32,32
2025-03-06T11:13:30.000Z,19,0,28,0,0,824,"Have you watched Freen's interview on Grazia Singapore?

https://t.co/vMDVrBoioU

#GRAZIASingapore 
#srchafreen
#ValentinoFW25xFreen
#VALENTINOGARAVANI",1897606458206011536,1897606458206011536,25247011,People & Blogs,871,871
2025-03-06T10:37:31.000Z,0,0,0,0,0,208,"Remember a world before ChatGPT? Our experts dive into how #AI has revolutionised our lives and explored the driving forces behind its rapid growth in recent years.

Catch the full episode at https://t.co/GZVeoxOICR

#Data #SmartNationSG #TechForPublicGood… https://t.co/xzkQjd536R https://t.co/kxXCDCvSLJ",1897597402561081444,1897597402561081444,123167035,Science & Technology,208,208
2025-03-07T13:21:56.000Z,0,1,0,0,0,135,"HALF-TIME Geylang 1-1 Balestier #SPL 

All square at the break! #GEYBAL

LIVE ➡️ YouTube (https://t.co/NM7dqLEFEd), meWATCH (https://t.co/advz4YFUkF), Singtel Ch 112 https://t.co/wMJXdLojdn",1898001168636199299,1898001168636199299,574434636,Sports,136,136
2025-03-07T08:00:40.000Z,0,0,0,0,0,7,Jamus Lim calls for reinstating Thaipusam as a public holiday in Singapore https://t.co/swOnTwUOjT via @YouTube,1897920317718134880,1897920317718134880,27378369,News & Politics,7,7
2025-03-03T03:21:07.000Z,9,1,20,1,0,568,"You’re more than the word ‘Love’ 🎶 

🚀 Can we reach 800K views before Emi’s schedule later today? 💥 

📺: https://t.co/NaxBtzaqzM

#MoreThanWords_MV #emiamily https://t.co/erJ42O0uM1",1896400416579227649,1896400416579227649,1803287574309642240,Music,599,599
2025-03-06T14:50:20.000Z,5,0,4,0,1,127,Check out GRAZIA Singapore's video! #TikTok https://t.co/72sIzGX8Ap,1897661026415604167,1897661026415604167,1492867904018468864,How-to & Style,137,137
2025-03-04T11:10:00.000Z,19,0,21,0,1,366,"Livestream can be watched here later: 

https://t.co/QbVHOTaEez

LINGORM AT PFW2025
#LingOrmDiorAW25 https://t.co/dwQ1nRbWLW",1896880802895675647,1896880802895675647,1809435792651218945,How-to & Style,407,407
2025-03-03T09:59:41.000Z,20,0,64,1,15,2286,"250301 AAA TOUR BY HYUKOH &amp; SUNSET ROLLERCOASTER in Singapore

My Jinji: https://t.co/W3zN9Ax3dN 
Comes and Goes: https://t.co/nVqItk5XLG
Wanli &amp; Citizen Kane: https://t.co/arcrnnox0t
Young Man: https://t.co/oaohRi7gOt 
 
#hyukoh #혁오 https://t.co/GHTewO65p1",1896500719412527247,1896500719412527247,3304001092,Music,2386,2386
2025-03-06T00:40:22.000Z,0,0,0,0,0,2,"20241005 TikTok Live 12 (Primary 3) 

Check out singapore_math_hacks's video! #TikTok https://t.co/AF3bZ1M6cV",1897447125899985105,1897447125899985105,1815963988745936898,Education,2,2
2025-03-05T23:56:47.000Z,0,0,0,0,0,5,"20241004 TikTok Live 11 (Primary 4) 

Check out singapore_math_hacks's video! #TikTok https://t.co/fHh9b9IoUt",1897436157723721978,1897436157723721978,1815963988745936898,Education,5,5
2025-03-06T16:44:57.000Z,1,1,4,0,0,135,"Ment 4

By now our screams have intensified. The way he shushed us was so cute.
Do not ask us to choose which album we like best! We like all of them!

Full: https://t.co/tRgjpOjDP6

#YESUNG #2025_YESUNG_CONCERT_Its_Complicated_in_SINGAPORE https://t.co/tKn5HXcJtz",1897689872770748642,1897689872770748642,1289369968484610048,Music,141,141
2025-03-07T05:56:50.000Z,6,0,7,0,0,110,"Check out GRAZIA Singapore's video! 

🔗https://t.co/5dBPOYVZVn

#ValentinoFW25xFreen
#ValentinoFW25 #AW25
#VALENTINOGARAVANI
#ParisFashionWeek 
#PFW #ParisFashionWeek2025
#srchafreen #FreenSarocha",1897889155905937914,1897889155905937914,1549637216519200769,How-to & Style,123,123
2025-03-04T07:17:52.000Z,41,1,58,3,5,1248,"Jisoo’s Amortage pop-up store in Singapore. 

Check out sseoul.sam's video! #TikTok https://t.co/md102DYvkh",1896822383874556375,1896822383874556375,1358544108134912000,How-to & Style,1356,1356
2025-03-06T07:16:44.000Z,41,0,52,0,0,850,"Check out GRAZIA Singapore's video! 

🔗https://t.co/4xzBopS9yM

#ValentinoFW25xFreen
#VALENTINOGARAVANI
#srchafreen #FreenSarocha
#ParisFashionWeek #PFW #AW25
#GRAZIASingapore",1897546876662022651,1897546876662022651,713926652,How-to & Style,943,943
2025-03-06T07:11:34.000Z,28,0,25,0,1,551,"Check out GRAZIA Singapore's video! #TikTok https://t.co/O9QKN72cYV

#ValentinoFW25xFreen
#VALENTINOGARAVANI
#ParisFashionWeek #PFW
#srchafreen #FreenSarocha
#GRAZIASingapore",1897545573701472753,1897545573701472753,1701845499060600832,How-to & Style,605,605
2025-03-07T10:00:12.000Z,0,0,0,0,0,2,"20241010 TikTok Live 16 (Primary 4) 

Check out singapore_math_hacks's video! #TikTok https://t.co/hF0CHYtwUI",1897950401749463320,1897950401749463320,1815963988745936898,Education,2,2
2025-03-02T12:30:00.000Z,0,1,1,0,1,654,"KICK-OFF! Balestier vs BG Pathum #SGCup #BALBGP

LIVE ➡️ YouTube (https://t.co/meNq1cnCWf), meWATCH (https://t.co/advz4YGsad), Singtel Ch 111 https://t.co/OtXxsU0H0W",1896176159899123774,1896176159899123774,574434636,Sports,657,657
2025-03-05T09:24:09.000Z,4,0,33,1,0,495,"What an incredible Vyvo Weekend Getaway in South Korea! Our top Influencers from Malaysia and Singapore celebrated in style, exploring landmarks, tasting authentic cuisine, and more!
https://t.co/ej1zhoYQzE

#Vyvo #FutureMakers #VyvoSocialFi #VyvoInfluencers",1897216551268573256,1897216551268573256,1621031565919940609,Travel & Events,533,533
2025-03-07T09:21:52.000Z,0,0,0,0,0,4,"20241009 TikTok Live 15 (Primary 5) 

Check out singapore_math_hacks's video! #TikTok https://t.co/18tr4n9ku8",1897940753948557518,1897940753948557518,1815963988745936898,Education,4,4
2025-03-06T06:30:18.000Z,0,0,1,0,0,112,"🇱🇰 Our policy makers should view this. Interesting indeed!
https://t.co/m75YDS8Gwm",1897535191587152227,1897535191587152227,1521064225686401024,News & Politics,113,113
2025-03-07T02:54:22.000Z,0,0,0,0,0,4,"20241007 TikTok Live 14 (Primary 4) 

Check out singapore_math_hacks's video! #TikTok https://t.co/FsxVKfVO11",1897843235386802281,1897843235386802281,1815963988745936898,Education,4,4
2025-03-05T06:45:00.000Z,0,0,0,0,0,106,"Purr-fect partnership!😻Find out how citizens can partner the government for a better Singapore, through initiatives like the Cat Management Framework: https://t.co/u5JCG5fJ2E https://t.co/QwtnAQ0rCq",1897176501134537210,1897176501134537210,1527152922,Pets & Animals,106,106
2025-03-06T06:15:51.000Z,0,0,0,0,0,15,[KPOP IN PUBLIC | SIDECAM] GOT7 - 'PYTHON' DANCE COVER | GRID SINGAPORE https://t.co/PilNTZZdMF via @YouTube,1897531555620507701,1897531555620507701,976125373120499712,Music,15,15
2025-03-05T13:40:59.000Z,0,0,0,0,0,5,Why this Billionaire chose Thailand over the US and Singapore for life https://t.co/aMUfHkQNob via @YouTube,1897281188580220955,1897281188580220955,75423635,News & Politics,5,5
2025-03-04T23:16:16.000Z,14,0,18,0,0,418,"Check out Thann Singapore's video! #TikTok https://t.co/xNZdjOfAqA

@MSuppasit 
#MewSuppasit
#มิวศุภศิษฏ์",1897063572989206986,1897063572989206986,883586649338265600,How-to & Style,450,450
2025-03-03T13:06:48.000Z,14,0,18,0,1,299,"10K like go go go 💪💪💪💪

Lihat video GRAZIA Singapore! #TikTok https://t.co/l0XazcLQwE",1896547809974968430,1896547809974968430,1696088504110047232,How-to & Style,332,332
2025-03-02T16:33:27.000Z,2,1,3,0,2,272,"Ment 1

This is where he started the blind date concept, and when he asked if he's still ok (as in a good catch?), he got shy himself he's so cuteeeee. And dude too much tongue again argh 🫠

Full: https://t.co/pExTPDrDj1

#YESUNG #2025_YESUNG_CONCERT_Its_Complicated_in_SINGAPORE https://t.co/Xw24s4bynO",1896237426420674900,1896237426420674900,1289369968484610048,Music,280,280
2025-03-06T15:29:59.000Z,0,0,0,0,0,50,"#Srchafreen
Check out GRAZIA Singapore's video! #TikTok https://t.co/QnLVzEpERU",1897671005197173067,1897671005197173067,1754933447322169344,How-to & Style,50,50
2025-03-05T13:12:57.000Z,4,0,5,0,1,136,Lihat video GRAZIA Singapore! #TikTok https://t.co/U0pZZCw3SU,1897274133584781491,1897274133584781491,1696088504110047232,How-to & Style,146,146
2025-03-02T04:28:27.000Z,0,0,4,0,0,48,"Hey everyone👋🏻, please help to like, share and subscribe to my YouTube channel. Thank you! 

https://t.co/4DU7yJWIuS",1896054974221832296,1896054974221832296,579971885,People & Blogs,52,52
2025-03-06T22:59:57.000Z,0,0,0,0,0,5,"20241005 TikTok Live 13 (Primary 5) 

Check out singapore_math_hacks's video! #TikTok https://t.co/1q0hBDL9z4",1897784244493271320,1897784244493271320,1815963988745936898,Education,5,5
2025-03-02T22:56:36.000Z,2,0,15,0,0,230,COMPANIONS OF HELLFIRE (SINGAPORE)  CODEX ANTICHRISTUS (FULL DEMO) https://t.co/8HxnD7PDBJ via @YouTube,1896333847744393400,1896333847744393400,949823764149219328,Music,247,247
2025-03-03T07:25:23.000Z,69,0,89,2,1,1051,"Check out GRAZIA Singapore's video! 

🔗 https://t.co/VstjpAeBCc

#GRAZIASingapore
#ValentinoFW25xFreen
#VALENTINOGARAVANI
#srchafreen #FreenSarocha",1896461888671887676,1896461888671887676,1618925885884858370,How-to & Style,1212,1212
2025-03-08T02:25:03.000Z,1,0,2,0,1,1319,"Should you marry for a home? Singapore’s famous public housing system is not without its own social quirks. 

@DextLow explains https://t.co/i3OFw4VAGR https://t.co/N62MYAo1jy",1898198248654872771,1898198248654872771,252751061,News & Politics,1323,1323
2025-03-07T12:53:27.000Z,0,0,0,0,0,7,"20241011 TikTok Live 17 (Primary 5) 

Check out singapore_math_hacks's video! #TikTok https://t.co/uVSu15E6bH",1897994002978554230,1897994002978554230,1815963988745936898,Education,7,7
2025-03-03T10:58:16.000Z,23,0,24,0,0,321,Check out GRAZIA Singapore's video! #TikTok https://t.co/W0uygGXyXb,1896515464672804919,1896515464672804919,1708052559724994560,How-to & Style,368,368
2025-03-07T02:03:33.000Z,1,0,8,0,2,304,"@unraveaero Now Tourist Singapore river was cleaned in a few years.

This is a great story well narrated here

https://t.co/kzlExhTvbJ https://t.co/BhSPL32lwc",1897830450317729951,1897830450317729951,171962385,Travel & Events,315,315
2025-03-07T03:46:39.000Z,0,0,0,0,0,4,"https://t.co/FmwRnPfqya

Change india to indonesia, we have the same problem.",1897856395254628463,1897856395254628463,1476067348687720448,News & Politics,4,4
2025-03-03T23:31:27.000Z,0,0,0,0,0,16,How Lee Kuan Yew Made Singapore - Tony Blair https://t.co/925q15YEri via @YouTube,1896705007090823666,1896705007090823666,509617237,Education,16,16
2025-03-07T04:29:56.000Z,0,0,1,0,0,84,"India claims to be a Superpower, 🤔 sure, anyone can.

#India #Pakistan #Bangladesh #Maldives #Nepal #Australia #Singapore #Malaysia #Indonesia #Thailand #Japan #SouthKorea #China

https://t.co/VKI8TzjUek",1897867286226026949,1897867286226026949,746293897551183872,News & Politics,85,85
2025-03-04T15:27:06.000Z,0,0,3,0,0,428,"@cb_doge I think the featured band is responsible for the ElectroMagnetic Spectrum Song ⚡️🧲🌈🌞💎🧬🚦
❤️🧡💛💚💙💜❤️🧡💛💚💙💜❤️🧡💛💚💙💜
https://t.co/tuqypxq2Lt",1896945505768477116,1896945505768477116,1507523158928150532,Music,431,431
2025-03-07T21:48:09.000Z,0,0,0,0,0,4,"20241012 TikTok Live 18 (Primary 4) 

Check out singapore_math_hacks's video! #TikTok https://t.co/I2rXjjlQ96",1898128562781389256,1898128562781389256,1815963988745936898,Education,4,4
2025-03-06T07:26:17.000Z,0,0,0,0,0,1,Lihat video GRAZIA Singapore! #TikTok https://t.co/NQbY1nMoct,1897549279763517709,1897549279763517709,1849909725913284611,How-to & Style,1,1
2025-03-07T08:40:34.000Z,0,0,0,0,0,4,Lihat video GRAZIA Singapore! #TikTok https://t.co/W8rvN4g3Ho,1897930361541476737,1897930361541476737,1849909725913284611,How-to & Style,4,4
